Sibylle;8682
Liane;8673
Kornelia;8659
Bodo;8653
Mechthild;8649
Hugo;8588
Waltraut;8551
Lotte;8526
Philipp;8405
Sybille;8391
Dorothee;8337
Josefine;8334
Annett;8155
Steffi;8101
Klaus-Peter;8052
Ronald;8033
Maik;8017
Margarethe;8015
Oskar;7998
Gabriela;7971
Mike;7963
Maren;7915
Patricia;7887
Marie-Luise;7705
Juliane;7631
David;7613
Gert;7584
Pia;7543
Valentina;7488
Roman;7484
Hermine;7458
Lina;7300
Ingeburg;7249
Brigitta;7247
Jessica;7222
Björn;7207
Wolfram;7165
Karla;7108
Grete;7102
Frauke;7077
Hans-Werner;7039
Helena;7031
Margrit;6991
Alice;6983
Arthur;6975
Gregor;6896
Magdalene;6885
Kristina;6863
Beatrix;6839
Jennifer;6826
Henning;6674
Hella;6640
Miriam;6635
Walburga;6597
Nikolaus;6534
Marcel;6437
Felix;6435
Friederike;6408
Margitta;6362
Elmar;6350
Edwin;6342
Marlis;6302
Gunter;6293
Heribert;6247
Leonhard;6226
Natalie;6218
Eveline;6217
Nadja;6201
Sarah;6139
Emilie;6119
Meike;6101
Edelgard;6095
Emmi;6067
Doreen;6052
Ulla;6022
Adam;5989
Raimund;5935
Sophie;5898
Ursel;5859
Manuel;5848
Esther;5786
Ilka;5738
Marta;5732
Albrecht;5729
Viola;5725
Clemens;5721
Jasmin;5694
Ludger;5660
Helma;5634
Henry;5628
Linda;5614
Mandy;5603
Heiner;5581
Natalia;5553
Edda;5551
Carolin;5497
Wilhelmine;5489
Annelies;5472
Hilda;5434
Ulf;5395
Maike;5376
Lilli;5337
Timo;5259
Antonio;5203
Cordula;5185
Lucia;5111
Karen;5092
Lorenz;5090
Hiltrud;5073
Benjamin;5067
Lidia;5030
Tamara;5022
Detlev;4984
Annerose;4968
Caroline;4946
Mark;4944
Margareta;4930
Irmtraud;4924
Dennis;4915
Oswald;4819
Edeltraut;4791
Käte;4788
Karina;4753
Simon;4723
Antonia;4712
Susann;4694
Benno;4638
Ottilie;4635
Engelbert;4629
Evelin;4615
Jacqueline;4558
Viktoria;4557
Ronny;4549
Mehmet;4532
Xaver;4522
Jörn;4482
Janine;4430
Annelie;4415
Ali;4412
Gerold;4399
Toni;4395
Helmuth;4380
Hertha;4377
Christof;4364
Liesel;4361
Sergej;4358
Volkmar;4346
Rosi;4333
Mirko;4287
Tim;4239
Inga;4165
Magda;4161
Grit;4135
Gunda;4124
Lucie;4117
André;4115
Josefa;4058
Marko;4037
Alma;4036
Karoline;4029
Meta;4012
Henriette;3944
Rosmarie;3935
Gernot;3899
Wiebke;3898
Uschi;3893
Boris;3893
Birgitt;3877
Peggy;3858
Adele;3837
Natascha;3836
Hans-Jörg;3801
Elly;3795
Sigrun;3784
Elise;3773
Dörte;3762
Gertraude;3759
Vladimir;3746
Mustafa;3731
Kristin;3714
Jeanette;3695
Antonie;3678
Gretel;3655
Betty;3653
Isabel;3651
Lena;3634
Constanze;3605
Knut;3595
Jenny;3575
Isabella;3567
Carina;3567
Gundula;3539
Willibald;3532
Elfi;3511
Dominik;3511
Rosel;3494
Hans-Ulrich;3492
Janina;3490
Ottmar;3472
Galina;3460
Hubertus;3459
Gitta;3451
Susan;3443
Denise;3438
Giuseppe;3437
Heinz-Dieter;3428
Traute;3426
Evi;3425
Otmar;3412
Heino;3398
Beatrice;3389
Annika;3386
Anna-Maria;3363
Liesbeth;3355
Svetlana;3352
Enrico;3351
Wendelin;3348
Larissa;3347
Siegmund;3329
Leni;3319
Julius;3312
Swetlana;3304
Hendrik;3300
Hans-Günter;3300
Alwin;3296
Sofie;3278
Heinz-Jürgen;3260
René;3254
Hartwig;3227
Erik;3218
Nils;3216
Klemens;3210
Wladimir;3186
Sylke;3184
Bianka;3163
Carla;3157
Resi;3153
Ludmilla;3150
Helge;3137
Hans-Josef;3134
Siegrid;3125
Ivan;3124
Pauline;3118
Frida;3118
Vanessa;3082
Roger;3079
Rosina;3070
Dorit;3066
Siegbert;3066
Anett;3063
Melitta;3057
Auguste;3048
Mareike;3044
Bernadette;3043
Hilmar;3026
Annelore;3013
Maximilian;2996
Ivonne;2983
Falk;2980
Valentin;2978
Gunther;2978
Ria;2977
Irena;2966
Siglinde;2950
Laura;2948
Rupert;2948
Klaudia;2942
Babette;2937
Sofia;2928
Hans-Hermann;2914
Arne;2900
Lisbeth;2882
Ingolf;2882
Gunnar;2873
Almut;2866
Susanna;2855
Wanda;2843
KarlHeinz;2841
Svenja;2828
Giesela;2824
Emmy;2798
Hermann-Josef;2797
Kathleen;2795
Fatma;2795
Thilo;2795
Luzia;2792
Adalbert;2788
Nelli;2786
Christl;2786
Ariane;2772
Alex;2769
Tino;2768
Andrej;2743
Jeannette;2716
Corina;2708
Saskia;2704
Rebecca;2695
Salvatore;2694
Hans-Heinrich;2682
Nico;2664
Isabell;2652
Eric;2637
Konstantin;2629
Ahmet;2627
Wally;2587
Hanne;2563
Thekla;2560
Karolina;2559
Felicitas;2538
Joseph;2537
Cäcilia;2515
Valeri;2502
Hinrich;2500
Egbert;2499
Conny;2494
Gesine;2476
Fabian;2464
Selma;2461
Hasan;2448
Birte;2446
Marliese;2431
Ekkehard;2429
Luzie;2399
Marian;2384
Hedi;2361
Hansjörg;2358
Romy;2354
Christopher;2352
Anny;2351
Agathe;2351
Nora;2344
Kirstin;2344
Francesco;2343
Hagen;2341
Silvio;2339
Cäcilie;2335
Wolf;2335
Ingelore;2311
Dana;2306
Teresa;2288
Marika;2268
Siegmar;2262
Nancy;2257
Alwine;2257
Amalie;2250
Lilo;2220
Nikolai;2219
Klaus-Jürgen;2213
John;2198
Heinz-Peter;2193
Georgios;2176
Bert;2169
Imke;2140
Benedikt;2137
Gisbert;2133
Adrian;2133
Margarita;2130
